# x, y, z, x_dot, y_dot, z_dot, phi, theta, psi, p, q, r
0.00304,0.00494,0.85617,0.01339,0.01493,2.46781,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00309,0.00501,0.86602,0.01373,0.01370,2.48117,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00315,0.00506,0.87591,0.01445,0.01283,2.49533,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00320,0.00512,0.88587,0.01491,0.01202,2.50982,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00326,0.00517,0.89588,0.01518,0.01124,2.52439,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00332,0.00521,0.90594,0.01593,0.01047,2.53843,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00339,0.00526,0.91607,0.01637,0.01073,2.55277,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00345,0.00530,0.92625,0.01658,0.01058,2.56725,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00352,0.00534,0.93649,0.01705,0.00988,2.58139,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00358,0.00538,0.94679,0.01705,0.00983,2.59571,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00365,0.00542,0.95714,0.01664,0.00961,2.61022,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00372,0.00546,0.96756,0.01689,0.00946,2.62457,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00379,0.00550,0.97803,0.01785,0.00970,2.63847,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00386,0.00554,0.98855,0.01824,0.00973,2.65267,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00393,0.00558,0.99913,0.01752,0.00958,2.66672,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00400,0.00561,1.00977,0.01729,0.00932,2.68019,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00407,0.00565,1.02047,0.01740,0.00931,2.69417,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00414,0.00569,1.03122,0.01743,0.00992,2.70849,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00421,0.00573,1.04202,0.01748,0.01027,2.72301,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00428,0.00577,1.05288,0.01741,0.01010,2.73738,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00435,0.00581,1.06380,0.01709,0.00990,2.75125,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00442,0.00585,1.07478,0.01653,0.01027,2.76576,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
