t,mx,my,mz
5.5200000000000005,-7.432040336428378,-20.90363474339225,-42.0024660920885
5.54,-7.72677081145194,-20.913564413703483,-41.24631008130811
5.5600000000000005,-7.76577684417903,-21.017992738500354,-42.5280302787624
5.58,-7.73419660533772,-21.2675699064533,-41.50458746348225
5.6000000000000005,-7.573935769880485,-20.93611141180783,-42.134052609202
5.62,-7.742485120273956,-20.881401558808538,-42.86188923285364
5.64,-8.085085527307012,-20.731812322249827,-41.75545397819563
5.66,-7.8582909487569745,-20.743065162744195,-42.02186223638337
5.68,-7.871282264761534,-21.022773978847834,-41.94867918681673
5.7,-8.102054166364283,-20.707686558248486,-43.07857584801091
5.72,-8.022806565628008,-20.814216419060628,-42.07350365753412
5.74,-8.16451780609835,-20.918316876049268,-42.28691014836127
5.76,-8.198425374596935,-20.66898099207793,-42.25552321452893
5.78,-8.088003520716953,-20.618905420444,-41.92008920506706
5.8,-8.25653162855556,-20.51001910452575,-41.488794518718066
5.82,-8.265877461681928,-21.15598027189308,-41.63929863809221
5.84,-8.233487110210808,-20.60240597716478,-41.47526250367189
5.86,-8.33163212556812,-20.748424481389005,-42.370789142560064
5.88,-8.480421517152676,-20.671416157724682,-42.317243745994084
5.9,-8.553304740268954,-20.307821556913286,-41.8434212263193
5.92,-8.414293291134316,-20.807642781982114,-42.32758265833439
5.94,-8.52974665751779,-20.690271664399983,-42.16177419867122
5.96,-8.443441829279443,-20.996451195959825,-42.60148559132815
5.98,-8.745731525244778,-21.008613752069554,-42.18833263022564
6.0,-8.61256569308277,-20.529926797903908,-42.03299391347366
6.0200000000000005,-8.6476919861423,-20.743126184703303,-42.589821517163806
6.04,-8.758584094157003,-20.54888786220349,-41.940394794276706
6.0600000000000005,-8.707778975680592,-20.3661578546809,-42.32790102409615
6.08,-8.840970714491311,-20.641164530147975,-42.15523156977563
6.1000000000000005,-8.874584211993385,-20.598612316284388,-41.69489599104159
6.12,-8.823193092361866,-20.527193474763276,-41.8701828161384
6.140000000000001,-9.12895091501694,-20.644815426343314,-41.99319092696257
6.16,-9.096129208237226,-21.096578804226347,-42.269571622032466
6.18,-9.033090422071112,-20.172948011101127,-42.674505488113994
6.2,-8.97959177189245,-20.293740027665418,-42.28021613927483
6.22,-9.12482395696844,-20.264760915794398,-41.978652605738674
6.24,-9.269866893907412,-20.339446321260635,-42.01625546445618
6.26,-9.284068327264269,-20.256828782349103,-42.23064265906516
6.28,-9.18116293225531,-20.19552103493882,-42.070360890139014
6.3,-9.610571423288333,-20.154348387809364,-42.05741231600624
6.32,-9.16974703837042,-20.07846368122557,-42.64866024436992
6.34,-9.41927088957762,-19.848852815819445,-42.284662362220814
6.36,-9.583984198109142,-20.145156419875878,-42.4030119256935
6.38,-9.434602175743237,-20.234263123914275,-41.49610279340267
6.4,-9.664891120536044,-20.159432236531412,-42.183464021007296
6.42,-9.578765742667008,-20.302739972005845,-41.895132208644476
6.44,-9.605987621922427,-20.319211249603246,-42.36184024351787
6.46,-9.769693695190833,-19.743291716063247,-42.3521486509366
6.48,-9.837777950151393,-20.04524250761869,-42.23523526400807
6.5,-9.8027154681642,-20.181415795098502,-41.59944091348665
6.5200000000000005,-9.691436990810857,-19.750923514254687,-42.091573714717136
6.54,-10.064252398684426,-19.899958155885486,-41.882138307859975
6.5600000000000005,-9.783013970972782,-19.919703694674222,-42.58868299998433
6.58,-9.897108278734482,-19.58725577459917,-41.70229586502342
6.6000000000000005,-10.079646483086847,-19.804358372820065,-42.15900022658492
6.62,-10.035469140218499,-19.801181310124875,-42.65831248926317
6.640000000000001,-9.996397512489201,-19.996295801512016,-42.341504735846826
6.66,-10.184287324365053,-19.951804323986806,-42.63976854852089
6.68,-10.14793026192058,-19.810534634894296,-41.9405677014031
6.7,-10.091702282693712,-19.628508832880616,-42.46809437834695
6.72,-10.15526497934968,-19.39259184954,-42.12375228870989
6.74,-10.327283110629782,-20.015787681717484,-43.02934451980882
6.76,-10.038175350422007,-19.820321221468912,-41.815972850449455
6.78,-10.283966014339732,-19.553850730494275,-42.90115613715924
6.8,-10.307747324259337,-19.643087188878066,-42.711383061917495
6.82,-10.456248410593329,-19.858435502879594,-42.773434726336276
6.84,-10.433761746755069,-19.42817988747234,-41.88978407719327
6.86,-10.624433479550824,-19.71275230661686,-42.11720598836954
6.88,-10.335980299472254,-19.45072734981988,-42.463010977556344
6.9,-10.508959544769597,-19.739429408539408,-42.483309910500154
6.92,-10.678844916843117,-19.530300642307225,-41.35718456308629
6.94,-10.7011393680197,-19.29822243858447,-41.92542234291174
6.96,-10.833070008739423,-19.721110684052068,-42.085937976857295
6.98,-10.813747913974856,-19.537809752250535,-41.27207841954304
7.0,-10.964035072220803,-19.591238241093983,-42.41623695543923
7.0200000000000005,-10.666103415829197,-19.17390149231987,-41.93988658486789
7.04,-10.946088655537206,-19.561263965616682,-42.17764882418611
7.0600000000000005,-10.779086209776283,-19.437586905285414,-41.61901395415944
7.08,-10.759644344967962,-19.307064908010606,-41.95389079016011
7.1000000000000005,-10.93729663974788,-19.12010382934588,-42.07790064109065
7.12,-10.992437306000156,-19.263974159262375,-41.69422387691629
7.140000000000001,-11.093333200157856,-19.011958907766594,-42.45047253849376
7.16,-11.26442680014251,-19.491026937539477,-41.50982842339805
7.18,-11.206688949847079,-19.45539352664729,-42.25370783987763
7.2,-11.295135149554296,-19.019578026253896,-41.94757371844252
7.22,-11.26340053909616,-19.368972151469332,-41.66918060924401
7.24,-11.195027447929759,-19.11705169267906,-42.49727910046855
7.26,-11.349562534292847,-19.415136719717545,-42.388095803249804
7.28,-11.227010166966062,-19.235079996060858,-43.05349805957347
7.3,-11.46576801933899,-18.933878036814846,-41.818959308519275
7.32,-11.543840611991573,-18.814125698766397,-42.265586696136836
7.34,-11.487240121116088,-19.150142795990877,-42.275092648644296
7.36,-11.62694994315901,-19.024793964680036,-42.20053883130558
7.38,-11.414091310004546,-19.3954520606084,-41.61996698594182
7.4,-11.631208352162535,-18.955917683262857,-41.985225342863004
7.42,-11.630293965721492,-18.774906727064316,-42.40265403211393
7.44,-11.70039634422514,-19.281164931885638,-42.473555233972505
7.46,-11.65038776123675,-19.0520100492105,-40.88411385046346
7.48,-11.802720192807088,-19.01921094603818,-42.11057130406621
7.5,-12.087791691418605,-18.61201206773742,-42.06736018706555
7.5200000000000005,-11.903636782991622,-19.287520095509514,-43.2764229385581
